,Question,1,2,3,4,answer
0,What is the meaning of Go?,humorous,impartial,move,elaborate,3
1,What is the meaning of Wrong?,assist,unsuitable,tale,wretched,2
2,What is the meaning of Hurt?,spurious,damage,straggle,drop,2
3,What is the meaning of Unhappy?,discouraged,proper,interested,obvious,1
4,What is the meaning of Funny?,behind,essential,incorrect,laughable,4
5,What is the meaning of Cry?,believe,terminate,curved,scream,4
6,What is the meaning of Move?,sage,dash,frightened,damage,2
7,What is the meaning of Interesting?,pickle,blissful,involving,dilemma,3
8,What is the meaning of Lazy?,slothful,race,distress,site,1
9,What is the meaning of Dull?,intrepid,problem,unimaginative,sad,3
